,ts_code,symbol,name,area,industry,abbreviation,list_date
4312,605056.SH,605056,咸亨国际,浙江,电器仪表,xhgj,20210720
4313,605058.SH,605058,澳弘电子,江苏,元器件,ahdz,20201021
4314,605060.SH,605060,联德股份,浙江,机械基件,ldgf,20210301
4315,605066.SH,605066,天正电气,浙江,电气设备,tzdq,20200807
4316,605068.SH,605068,明新旭腾,浙江,汽车配件,mxxt,20201123
4317,605069.SH,605069,正和生态,北京,环境保护,zhst,20210816
4318,605077.SH,605077,华康股份,浙江,食品,hkgf,20210209
4319,605080.SH,605080,浙江自然,浙江,纺织,zjzr,20210506
4320,605081.SH,605081,太和水,上海,环境保护,ths,20210209
4321,605086.SH,605086,龙高股份,福建,矿物制品,lggf,20210416
4322,605088.SH,605088,冠盛股份,浙江,汽车配件,gsgf,20200817
4323,605089.SH,605089,味知香,江苏,食品,wzx,20210427
4324,605090.SH,605090,九丰能源,江西,供气供热,jfny,20210525
4325,605098.SH,605098,行动教育,上海,文教休闲,xdjy,20210421
4326,605099.SH,605099,共创草坪,江苏,文教休闲,gccp,20200930
4327,605100.SH,605100,华丰股份,山东,机械基件,hfgf,20200811
4328,605108.SH,605108,同庆楼,安徽,酒店餐饮,tql,20200716
4329,605111.SH,605111,新洁能,江苏,半导体,xjn,20200928
4330,605116.SH,605116,奥锐特,浙江,化学制药,art,20200921
4331,605117.SH,605117,德业股份,浙江,家用电器,dygf,20210420
4332,605118.SH,605118,力鼎光电,福建,元器件,ldgd,20200730
4333,605122.SH,605122,四方新材,重庆,水泥,sfxc,20210310
4334,605123.SH,605123,派克新材,江苏,航空,pkxc,20200825
4335,605128.SH,605128,上海沿浦,上海,汽车配件,shyp,20200915
4336,605133.SH,605133,嵘泰股份,江苏,汽车配件,rtgf,20210224
4337,605136.SH,605136,丽人丽妆,上海,其他商业,lrlz,20200929
4338,605138.SH,605138,盛泰集团,浙江,服饰,stjt,20211027
4339,605151.SH,605151,西上海,上海,汽车配件,xsh,20201215
4340,605155.SH,605155,西大门,浙江,家居用品,xdm,20201231
4341,605158.SH,605158,华达新材,浙江,钢加工,hdxc,20200805
4342,605162.SH,605162,新中港,浙江,供气供热,xzg,20210707
4343,605166.SH,605166,聚合顺,浙江,化纤,jhs,20200618
4344,605167.SH,605167,利柏特,江苏,建筑工程,lbt,20210726
4345,605168.SH,605168,三人行,陕西,互联网,srx,20200528
4346,605169.SH,605169,洪通燃气,新疆,供气供热,htrq,20201030
4347,605177.SH,605177,东亚药业,浙江,化学制药,dyyy,20201125
4348,605178.SH,605178,时空科技,北京,装修装饰,skkj,20200821
4349,605179.SH,605179,一鸣食品,浙江,乳制品,ymsp,20201228
4350,605180.SH,605180,华生科技,浙江,纺织,hskj,20210430
4351,605183.SH,605183,确成股份,江苏,化工原料,qcgf,20201207
