,symbol,name,publish_date,abbreviation
592,399697,中关村60,2017-01-10,zgc60
593,sh.000833,中高企债,2012-09-10,zgqz
594,sh.000008,综合指数,1993-05-03,zhzs
595,399399,中经GDP,2012-11-23,zjgdp
596,sh.000840,浙江民企,2012-11-09,zjmq
597,399364,中金消费,2009-08-03,zjxf
598,399427,国证德高行专利领先指数,2015-02-17,zllx
599,sh.000019,治理指数,2008-01-02,zlzs
600,399996,中证智能家居指数,2014-09-17,znjj
601,sh.000983,智能资产,2011-06-17,znzc
602,399374,中盘成长,2010-01-04,zpcz
603,399406,中盘低波,2013-12-05,zpdb
604,399407,中盘高贝,2013-12-05,zpgb
605,399375,中盘价值,2010-01-04,zpjz
606,399402,周期100,2013-10-28,zq100
607,399975,中证全指证券公司指数(四级行业),2013-07-15,zqgs
608,399249,综企指数,2013-03-04,zqzs
609,sh.000839,浙企综指,2012-11-09,zqzz
610,sh.000048,责任指数,2009-08-05,zrzs
611,399355,长三角,2007-07-02,zsj
612,399356,珠三角,2007-07-02,zsj
613,399005,中小100,2006-01-24,zx100
614,399333,中小100R,2006-12-27,zx100r
615,399008,中小300,2010-03-22,zx300
616,399294,中小创Q,2019-06-06,zxcq
617,399015,深证中小创新指数,2015-03-24,zxcx
618,399602,中小成长,2010-05-24,zxcz
619,399663,中小低波,2012-12-20,zxdb
620,399634,中小等权,2011-10-28,zxdq
621,399664,中小高贝,2012-12-20,zxgb
622,399649,中小红利,2012-08-20,zxhl
623,399623,中小基础,2011-07-25,zxjc
624,399658,中小绩效,2012-11-19,zxjx
625,399604,中小价值,2010-05-24,zxjz
626,399401,中小盘,2013-03-20,zxp
627,399642,中小新兴,2012-02-01,zxxx
628,399650,中小治理,2012-08-20,zxzl
629,399690,中小专利,2016-05-23,zxzl
630,399651,中小责任,2012-08-20,zxzr
631,sh.000020,中型综指,2008-05-12,zxzz
632,399101,中小综指,2005-12-01,zxzz
633,sh.000092,资源50,2011-05-10,zy50
634,sh.000801,资源80,2011-11-08,zy80
635,399319,资源优势,2005-01-04,zyys
636,399903,中证100指数,2006-05-29,zz100
637,sh.000903,中证100,2006-05-29,zz100
638,sh.000852,中证1000指数,2014-10-17,zz1000
639,sh.000904,中证200,2007-01-15,zz200
640,399904,中证中盘200指数,2007-01-15,zz200
641,399905,中证500,2007-01-15,zz500
642,sh.000905,中证500,2007-01-15,zz500
643,sh.000907,中证700,2007-01-15,zz700
644,399907,中证中小盘700指数,2007-01-15,zz700
645,399906,中证800指数,2007-01-15,zz800
646,sh.000906,中证800,2007-01-15,zz800
647,399997,中证白酒指数,2015-01-21,zzbj
648,sh.000188,中国波指,2016-11-28,zzbz
649,399980,中证超级大盘指数,2011-05-10,zzcd
650,sh.000980,中证超大,2011-05-10,zzcd
651,sh.000929,中证材料,2009-07-03,zzcl
652,399929,中证原材料指数,2009-07-03,zzcl
653,399971,中证传媒指数,2014-04-15,zzcm
654,399953,中证地方国有企业综合指数,2010-02-09,zzdq
655,sh.000953,中证地企,2010-02-09,zzdq
656,399936,中证电信业务指数,2009-07-03,zzdx
657,sh.000936,中证电信,2009-07-03,zzdx
658,399813,中证国防安全指数,2015-01-29,zzga
659,399973,中证国防指数,2014-04-15,zzgf
660,399955,中证国有企业综合指数,2010-02-09,zzgq
661,sh.000955,中证国企,2010-02-09,zzgq
662,399937,中证公用事业指数,2009-07-03,zzgy
663,sh.000937,中证公用,2009-07-03,zzgy
664,399930,中证工业指数,2009-07-03,zzgy
665,sh.000930,中证工业,2009-07-03,zzgy
666,sh.000827,中证环保,2012-09-25,zzhb
667,sh.000922,中证红利,2008-05-26,zzhl
668,399922,中证红利指数,2008-05-26,zzhl
669,399987,中证酒指数,2014-12-10,zzj
670,399967,中证军工,2013-12-26,zzjg
671,399934,中证金融地产指数,2009-07-03,zzjr
672,sh.000934,中证金融,2009-07-03,zzjr
673,sh.000931,中证可选,2009-07-03,zzkx
674,399931,中证可选消费指数,2009-07-03,zzkx
675,sh.000960,中证龙头,2010-02-09,zzlt
676,399960,中证龙头企业指数,2010-02-09,zzlt
677,sh.000902,中证流通,2006-02-27,zzlt
678,399902,中证流通指数,2006-02-27,zzlt
679,399938,中证民营企业综合指数,2009-08-25,zzmq
680,sh.000938,中证民企,2009-08-25,zzmq
681,399998,中证煤炭指数,2015-02-13,zzmt
682,sh.000928,中证能源,2009-07-03,zzny
683,399928,中证能源指数,2009-07-03,zzny
684,399985,中证全指指数,2011-08-02,zzqz
685,sh.000985,中证全指,2011-08-02,zzqz
686,sh.000961,中证上游,2010-04-16,zzsy
687,399961,中证上游资源产业指数,2010-04-16,zzsy
688,sh.000847,中证腾安价值100指数,2013-11-18,zzta
689,sh.000998,中证TMT,2011-11-08,zztmt
690,399804,中证体育产业指数,2015-02-09,zzty
691,399932,中证主要消费指数,2009-07-03,zzxf
692,sh.000932,中证消费,2009-07-03,zzxf
693,399808,中证新能源指数,2015-02-10,zzxn
694,sh.000964,中证新兴,2010-04-30,zzxx
695,399935,中证信息技术指数,2009-07-03,zzxx
696,399964,中证新兴产业指数,2010-04-30,zzxx
697,sh.000935,中证信息,2009-07-03,zzxx
698,sh.000963,中证下游,2010-04-16,zzxy
699,399963,中证下游消费与服务产业指数,2010-04-16,zzxy
700,399986,中证银行指数,2013-07-15,zzyh
701,399989,中证医疗指数,2014-10-31,zzyl
702,399926,中证中央企业综合指数,2009-03-30,zzyq
703,sh.000926,中证央企,2009-03-30,zzyq
704,sh.000933,中证医药,2009-07-03,zzyy
705,399933,中证医药卫生指数,2009-07-03,zzyy
706,399233,制造指数,2013-03-04,zzzs
707,sh.000962,中证中游,2010-04-16,zzzy
708,399962,中证中游制造产业指数,2010-04-16,zzzy
709,sh.000832,中证转债,2012-09-12,zzzz
